Object ID,File Name,YouTube ID,Title,Creator,Date,Description,Subject,Location,Type,Format,Language,Latitude,Longitude,Source,Identifier,Rights,Rights Statement
RenfrowSmith(1)_7.16.25,MVI_0058.MP4,,Renfrow Smith Interview Part 1 ,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
RenfrowSmith(2)_7.16.25,MVI_0059.MP4,,Renfrow Smith Interview Part 2,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmith(3)_7.16.25,MVI_0060.MP4,,Renfrow Smith Interview Part 3,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmith(4)_7.16.25,MVI_0061.MP4,,Renfrow Smith Interview Part 4,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmith(5)_7.16.25,MVI_0062.MP4,,Renfrow Smith Interview Part 5,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmith(6)_7.16.25,MVI_0063.MP4,,Renfrow Smith Interview Part 6,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmith(7)_7.16.25,MVI_0064.MP4,,Renfrow Smith Interview Part 7,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Video,MP4,Eng,,,,,,
RenfrowSmithAudio_7.16.25,ZOOM0004.WAV,,Renfrow Smith Audio Interview ,Valeriya Woodard,2025-07-16,,Edith Renfrow Smith,"Chicago, Illinois",Audio,Waveform audio,Eng,,,,,,
Stuart(1)_7.16.25,MVI_0066.MP4,,Stuart Interview Part 1 ,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Video,MP4,Eng,,,,,,
Stuart(2)_7.16.25,MVI_0067.MP4,,Stuart Interview Part 2,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Video,MP4,Eng,,,,,,
Stuart(3)_7.16.25,MVI_0068.MP4,,Stuart Interview Part 3,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Video,MP4,Eng,,,,,,
Stuart(4)_7.16.25,MVI_0069.MP4,,Stuart Interview Part 4,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Video,MP4,Eng,,,,,,
Stuart(5)_7.16.25,MVI_0070.MP4,,Stuart Interview Part 5,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Video,MP4,Eng,,,,,,
StuartAudio_7.16.25,ZOOM0005.WAV,,Stuart Audio Interview,Valeriya Woodard,2025-07-16,,Rhonda Stuart,"Chicago, Illinois",Audio,Waveform audio,Eng,,,,,,
MassingaleGerth(1)_7.17.25,MVI_0071.MP4,,Massingale Gerth and Renfrow Smith Part (1),Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleGerth(2)_7.17.25,MVI_0072.MP4,,Massingale Gerth Interview Part 1,Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleGerth(3)_7.17.25,MVI_0073.MP4,,Massingale Gerth Interview Part 2,Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleGerth(4)_7.17.25,MVI_0074.MP4,,Massingale Gerth Interview Part 3,Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleGerth(5)_7.17.25,MVI_0075.MP4,,Massingale Gerth Interview Part 4,Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleGerth(6)_7.17.25,MVI_0076.MP4,,Massingale Gerth and Renfrow Smith Part (2),Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Video,MP4,Eng,,,,,,
MassingaleAudio_7.17.25,ZOOM0006.WAV,,Massingale Audio Interview (and conversation with ERS),Valeriya Woodard,2025-07-17,,Samantha Massingale Gerth,"Chicago, Illinois",Audio,Waveform audio,Eng,,,,,,
Williams(1)_7.18.25,MVI_0078.MP4,,Williams Interview Part 1,Valeriya Woodard,2025-07-18,,Lesley Williams,"Evanston, Illinois",Video,MP4,Eng,,,,,,
Williams(2)_7.18.25,MVI_0079.MP4,,Williams Interview Part 2,Valeriya Woodard,2025-07-18,,Lesley Williams,"Evanston, Illinois",Video,MP4,Eng,,,,,,
Williams(3)_7.18.25,MVI_0080.MP4,,Williams Interview Part 3 ,Valeriya Woodard,2025-07-18,,Lesley Williams,"Evanston, Illinois",Video,MP4,Eng,,,,,,
Williams(4)_7.18.25,MVI_0081.MP4,,Williams Interview Part 4,Valeriya Woodard,2025-07-18,,Lesley Williams,"Evanston, Illinois",Video,MP4,Eng,,,,,,
Williams(5)_7.18.25,MVI_0082.MP4,,Williams Interview Part 5,Valeriya Woodard,2025-07-18,,Lesley Williams ,"Evanston, Illinois",Video,MP4,Eng,,,,,,
WilliamsAudio_7.18.25,ZOOM0009.WAV,,Williams Audio Interview,Valeriya Woodard,2025-07-18,,Lesley Williams,"Evanston, Illinois",Audio,Waveform audio,Eng,,,,,,